sep=,
"Nome","Saldo atual","Conta","Transferências","Descrição","Beneficiário","Categoria","Data","Tempo","Valor","Câmbio","Número do cheque","Saldo"
"MyCAP","39.387,00","BRL","","","","","","","","","",""
"","","MyCAP","BB CORRENTE","Transferência de BB CORRENTE","","","06/10/2020","11:52","1.000,00","BRL","","+39.387,00"
"Nubank","18.330,82","BRL","","","","","","","","","",""
"","","Nubank","BB CORRENTE","Transferência de BB CORRENTE","","","11/11/2020","11:34","2.000,00","BRL","","+18.330,82"
"","","Nubank","BB CORRENTE","Transferência de BB CORRENTE","","","06/10/2020","09:13","1.000,00","BRL","","+16.330,82"
"BB CORRENTE","-1.026,80","BRL","","","","","","","","","",""
"","","BB CORRENTE","","GANASH  PAES E CONF    BRASILIA      BR","","Compras > Panificadora","23/12/2020","08:24","-12,18","BRL","","-1.026,80"
"","","BB CORRENTE","","Boticario","","Presentes","21/12/2020","17:08","-294,80","BRL","","-1.014,62"
"","","BB CORRENTE","","MMartan","","Habitação > Mobiliário / acessórios","20/12/2020","14:43","-462,65","BRL","","-719,82"
"","","BB CORRENTE","","Fujioka","","Presentes","20/12/2020","14:23","-169,00","BRL","","-257,17"
"","","BB CORRENTE","","Ri Happy","","Presentes","20/12/2020","13:50","-464,56","BRL","","-88,17"
"","","BB CORRENTE","","IFOOD*BR               JUNDIAI       BR","","Compras > Jantares/Comida fora","28/11/2020","19:14","-53,40","BRL","","+376,39"
"","","BB CORRENTE","","POSTO COMBUSTIVEL","","Automóvel > Gasolina/Combustível","26/11/2020","08:47","-199,48","BRL","","+429,79"
"","","BB CORRENTE","","Status Barbeiro","","Cuidados com a Saúde > Outros","24/11/2020","11:18","-35,00","BRL","","+629,27"
"","","BB CORRENTE","","Copiadora Planalto","","Aprendizado Pessoal","17/11/2020","15:15","-60,65","BRL","","+664,27"
"","","BB CORRENTE","","Paulinho","","Outros","17/11/2020","07:54","40,00","BRL","","+724,92"
"","","BB CORRENTE","","Pagto Energia Elétrica - CEB-CIA ENERGETICA DE BSB","","Habitação > Luz","13/11/2020","07:53","-278,17","BRL","","+684,92"
"","","BB CORRENTE","","Wislane Chocolates","","Compras > Outros","12/11/2020","07:53","-119,00","BRL","","+963,09"
"","","BB CORRENTE","","NUTRICIONISTA ISABELA","","Cuidados com a Saúde > Nutricionista","12/11/2020","07:52","-220,00","BRL","","+1.082,09"
"","","BB CORRENTE","","Net Serviços de Comunicaç - NET SERVIçOS","","Contas > Tv à cabo","11/11/2020","17:30","-270,19","BRL","","+1.302,09"
"","","BB CORRENTE","","Kung Fu","","Lazer > Academia/Esportes","11/11/2020","17:28","-350,00","BRL","","+1.572,28"
"","","BB CORRENTE","Nubank","Transferência para Nubank","","","11/11/2020","11:34","-2.000,00","BRL","","+1.922,28"
"","","BB CORRENTE","","8-10 ALFA SEGURADORA","","Automóvel > Seguro de carro","10/11/2020","17:29","-285,53","BRL","","+3.922,28"
"","","BB CORRENTE","","Cobrança de Juros","","Tarifa de Banco","10/11/2020","07:55","-0,16","BRL","","+4.207,81"
"","","BB CORRENTE","","Psicologo","","Cuidados com a Saúde > Psicólogo","09/11/2020","17:35","-960,00","BRL","","+4.207,97"
"","","BB CORRENTE","VISA","Pagamento VISA","","","08/11/2020","17:31","-7.044,18","BRL","","+5.167,97"
"","","BB CORRENTE","","Proventos TED - 070 0203    72176032187 PAULO DA CUNHA","","Salário","05/11/2020","17:30","14.169,77","BRL","","+12.212,15"
